EVT_NAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,COUNT
Northeastern Interior Dry-Mesic Oak Forest,Tr Northeastern Interior Dry-Mesic Oak Forest,Tree,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,26905404
Southern Interior Low Plateau Dry-Mesic Oak Forest,Tr Southern Interior Low Plateau Dry-Mesic Oak Forest,Tree,Hardwood,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,14
Southern Appalachian Northern Hardwood Forest,Tr Southern Appalachian Northern Hardwood Forest,Tree,Hardwood,Yellow Birch-Sugar Maple Forest,SAF 55: Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,837549
North-Central Interior Dry-Mesic Oak Forest and Woodland,Tr North-Central Interior Dry-Mesic Oak Forest and Woodland,Tree,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,65504
North-Central Interior Dry Oak Forest and Woodland,Tr North-Central Interior Dry Oak Forest and Woodland,Tree,Hardwood,Black Oak Woodland and Savanna,SAF 110: Black Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,406
North-Central Interior Beech-Maple Forest,Tr North-Central Interior Beech-Maple Forest,Tree,Hardwood,Beech-Maple-Basswood Forest,SAF 25: Sugar Maple-Beech-Yellow Birch,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,138372
Southern Appalachian Oak Forest,Tr Southern Appalachian Oak Forest,Tree,Hardwood,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,24146462
Southern Piedmont Mesic Forest,Tr Southern Piedmont Mesic Forest,Tree,Hardwood,White Oak-Beech Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,12589201
Allegheny-Cumberland Dry Oak Forest and Woodland,Tr Allegheny-Cumberland Dry Oak Forest and Woodland,Tree,Hardwood,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13779310
Southern and Central Appalachian Cove Forest,Tr Southern and Central Appalachian Cove Forest,Tree,Hardwood,Beech-Maple-Basswood Forest,SAF 58: Yellow Poplar-Eastern Hemlock,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13285162
Central and Southern Appalachian Montane Oak Forest,Tr Central and Southern Appalachian Montane Oak Forest,Tree,Hardwood,Montane Oak Forest,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,5333669
South-Central Interior Mesophytic Forest,Tr South-Central Interior Mesophytic Forest,Tree,Hardwood,Beech-Maple-Basswood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,28162841
Northern Atlantic Coastal Plain Hardwood Forest,Tr Northern Atlantic Coastal Plain Hardwood Forest,Tree,Hardwood,Coastal Plain Oak Forest,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,3395940
East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,Tr East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,Tree,Hardwood,Sweetgum-Water Oak Forest,SAF 59: Yellow Poplar-White Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,568
Southern Coastal Plain Dry Upland Hardwood Forest,Tr Southern Coastal Plain Dry Upland Hardwood Forest,Tree,Hardwood,Coastal Plain Oak Forest,SAF 89: Live Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,1303
Southern Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,Tr Southern Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,Tree,Hardwood,Coastal Plain Oak Forest,SAF 72: Southern Scrub Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,1349390
Appalachian Shale Barrens,Tr Appalachian Shale Barrens,Tree,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,LF 55: Appalachian Grass and Shrub Balds,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,49787
Piedmont Hardpan Woodland and Forest,Tr Piedmont Hardpan Woodland and Forest,Tree,Hardwood,Post Oak Woodland and Savanna,SAF 40: Post Oak-Blackjack Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,82645
Southern Atlantic Coastal Plain Mesic Hardwood Forest,Tr Southern Atlantic Coastal Plain Mesic Hardwood Forest,Tree,Hardwood,Sweetgum-Water Oak Forest,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,2828541
Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,Tr Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,Tree,Conifer,Longleaf Pine Woodland,SAF 71: Longleaf Pine-Scrub Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,5015841
Atlantic Coastal Plain Upland Longleaf Pine Woodland,Tr Atlantic Coastal Plain Upland Longleaf Pine Woodland,Tree,Conifer,Longleaf Pine Woodland,SAF 71: Longleaf Pine-Scrub Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,5008197
East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,Tr East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,Tree,Conifer,Longleaf Pine Woodland,SAF 70: Longleaf Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,315
Central and Southern Appalachian Spruce-Fir Forest,Tr Central and Southern Appalachian Spruce-Fir Forest,Tree,Conifer,Spruce-Fir-Hardwood Forest,SAF 30: Red Spruce-Yellow Birch,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,856821
Southeastern Interior Longleaf Pine Woodland,Tr Southeastern Interior Longleaf Pine Woodland,Tree,Conifer,Longleaf Pine Woodland,SAF 70: Longleaf Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,785
Southern Appalachian Montane Pine Forest and Woodland,Tr Southern Appalachian Montane Pine Forest and Woodland,Tree,Conifer,Pitch Pine Woodlands,SAF 51: White Pine-Chestnut Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,696059
Southern Appalachian Low-Elevation Pine Forest,Tr Southern Appalachian Low-Elevation Pine Forest,Tree,Conifer,Virginia Pine Forest,SAF 79: Virginia Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,1740937
Northern Atlantic Coastal Plain Pitch Pine Barrens,Tr Northern Atlantic Coastal Plain Pitch Pine Barrens,Tree,Conifer,Pitch Pine Woodlands,SAF 45: Pitch Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,3212
Southern Coastal Plain Mesic Slope Forest,Tr Southern Coastal Plain Mesic Slope Forest,Tree,Hardwood,Sweetgum-Water Oak Forest,SAF 88: Willow Oak-Water Oak-Diamondleaf Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,128933
Central Atlantic Coastal Plain Maritime Forest,Tr Central Atlantic Coastal Plain Maritime Forest,Tree,Hardwood,Maritime Forest,SAF 74: Cabbage Palmetto,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,156082
Southern Piedmont Dry Pine Forest,Tr Southern Piedmont Dry Pine Forest,Tree,Conifer,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 59: Yellow Poplar-White Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,7313952
Central Appalachian Dry Pine Forest,Tr Central Appalachian Dry Pine Forest,Tree,Conifer,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,392120
Appalachian Hemlock Forest,Tr Appalachian Hemlock Forest,Tree,Conifer,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,167612
Eastern Serpentine Woodland,Tr Eastern Serpentine Woodland,Tree,Conifer-Hardwood,Glades and Barrens,SAF 46: Eastern Redcedar,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,143
Southern Ridge and Valley / Cumberland Dry Calcareous Forest,Tr Southern Ridge and Valley/Cumberland Dry Calcareous Forest,Tree,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,681413
Central Appalachian Pine Rocky Woodland,Tr Central Appalachian Rocky Pine Woodland,Tree,Conifer,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,799685
Northern Atlantic Coastal Plain Maritime Forest,Tr Northern Atlantic Coastal Plain Maritime Forest,Tree,Hardwood,Maritime Forest,SAF 81: Loblolly Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,59592
Southern Atlantic Coastal Plain Maritime Forest,Tr Southern Atlantic Coastal Plain Maritime Forest,Tree,Hardwood,Maritime Forest,SAF 74: Cabbage Palmetto,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,152356
Cumberland Sandstone Glade and Barrens,Tr Cumberland Sandstone Glade and Barrens,Tree,Conifer-Hardwood,Glades and Barrens,LF 55: Appalachian Grass and Shrub Balds,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,3151
Central Appalachian Alkaline Glade and Woodland,Tr Central Appalachian Alkaline Glade and Woodland,Tree,Conifer-Hardwood,Glades and Barrens,LF 55: Appalachian Grass and Shrub Balds,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,26245
Southern Piedmont Dry Oak Forest,Tr Southern Piedmont Dry Oak Forest,Tree,Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 59: Yellow Poplar-White Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,16928239
Southern Appalachian Shrub Bald,Sh Southern Appalachian Grass and Shrub Bald,Shrub,Shrubland,Glades and Barrens,LF 55: Appalachian Grass and Shrub Balds,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,18081
Southern Ridge and Valley Patch Prairie,He Southern Ridge and Valley Patch Prairie,Herb,Grassland,Prairies and Barrens,LF 55: Appalachian Grass and Shrub Balds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,71
Southern Atlantic Coastal Plain Dune and Maritime Grassland,He Southern Atlantic Coastal Plain Dune and Maritime Grassland,Herb,Grassland,Atlantic Dunes and Grasslands,SRM 723: Sea Oats,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,46782
Northern Atlantic Coastal Plain Dune and Swale Shrubland,Sh Northern Atlantic Coastal Plain Dune and Swale,Shrub,Shrubland,Atlantic Dunes and Grasslands,LF 57: Dunes and Maritime Grasslands,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,218
Southern Piedmont Dry Oak-(Pine) Forest,Tr Southern Piedmont Dry Oak-Pine Forest,Tree,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 59: Yellow Poplar-White Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,8468480
Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,Tr Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,Tree,Riparian,Pine Flatwoods,SAF 98 : Pond Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,1545024
Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,Tr Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,Tree,Riparian,Pine Flatwoods,SAF 83: Longleaf Pine-Slash Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,167460
Atlantic Coastal Plain Peatland Pocosin and Canebrake Woodland,Tr Atlantic Coastal Plain Peatland Pocosin and Canebrake,Tree,Riparian,Pocosin,LF 48: Pocosin,Tree-dominated,Open tree canopy,Deciduous open tree canopy,8590662
Northern Atlantic Coastal Plain Pitch Pine Lowland,Tr Northern Atlantic Coastal Plain Pitch Pine Lowland,Tree,Riparian,Pitch Pine Woodlands,SAF 45: Pitch Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,7299
Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,Tr Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,Tree,Riparian,Cypress,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Deciduous open tree canopy,159413
Southern Coastal Plain Nonriverine Cypress Dome,Tr Southern Coastal Plain Nonriverine Cypress Dome,Tree,Riparian,Cypress,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Deciduous open tree canopy,59692
Southern Coastal Plain Seepage Swamp and Baygall Woodland,Tr Southern Coastal Plain Seepage Swamp and Baygall,Tree,Riparian,Atlantic Swamp Forests,LF 47: Gulf Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,925136
Central Appalachian Dry Oak Forest,Tr Central Appalachian Dry Oak Forest,Tree,Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,2161452
Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall Woodland,Tr Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,Tree,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,1035383
Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall Shrubland,Tr Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,Shrub,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,898
Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,Tr Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,Tree,Riparian,Atlantic Swamp Forests,SAF 97: Atlantic White Cedar,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,1963025
Central Appalachian Dry Oak-Pine Forest,Tr Central Appalachian Dry Oak-Pine Forest,Tree,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,1160760
Appalachian Northern Hardwood Forest,Tr Appalachian Northern Hardwood Forest,Tree,Hardwood,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,1460900
Appalachian (Hemlock)-Northern Hardwood Forest,Tr Appalachian Hemlock-Northern Hardwood Forest,Tree,Conifer-Hardwood,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,545930
Southern Coastal Plain Herbaceous Seep and Bog,He Southern Coastal Plain Herbaceous Seep and Bog,Herb,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,88
Atlantic Coastal Plain Sandhill Seep,He Atlantic Coastal Plain Sandhill Seep,Herb,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,726
North-Central Interior Wet Flatwoods,Tr North-Central Interior Wet Flatwoods,Tree,Riparian,Hardwood Flatwoods,SAF 65: Pin Oak-Sweetgum,Tree-dominated,Open tree canopy,Deciduous open tree canopy,564
Central Appalachian Oak Rocky Woodland,Tr Central Appalachian Rocky Oak Woodland,Tree,Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,1088505
Central Appalachian Pine-Oak Rocky Woodland,Tr Central Appalachian Rocky Pine-Oak Woodland,Tree,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,1096595
Florida Peninsula Inland Scrub Woodland,Tr Florida Peninsula Inland Scrub,Tree,Conifer,Southern Scrub Oak,SAF 72: Southern Scrub Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,1
Southern Coastal Plain Seepage Swamp and Baygall Shrubland,Tr Southern Coastal Plain Seepage Swamp and Baygall,Shrub,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,594
Eastern Cool Temperate Urban Deciduous Forest,Dtd Urban Deciduous Forest,Tree,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,2410610
Eastern Cool Temperate Urban Evergreen Forest,Dtc Urban Evergreen Forest,Tree,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,3725588
Eastern Cool Temperate Urban Mixed Forest,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,4303155
Eastern Cool Temperate Urban Herbaceous,Dgr Urban Herbaceous,Herb,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,8342685
Eastern Cool Temperate Urban Shrubland,Dsh Urban Shrubland,Shrub,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,2774494
Eastern Warm Temperate Urban Deciduous Forest,Dtd Urban Deciduous Forest,Tree,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,25095
Eastern Warm Temperate Urban Evergreen Forest,Dtc Urban Evergreen Forest,Tree,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,213105
Eastern Warm Temperate Urban Mixed Forest,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,95013
Eastern Warm Temperate Urban Herbaceous,Dgr Urban Herbaceous,Herb,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,238495
Eastern Warm Temperate Urban Shrubland,Dsh Urban Shrubland,Shrub,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,269603
Eastern Cool Temperate Developed Ruderal Deciduous Forest,Dtd Developed Ruderal Deciduous Forest,Tree,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,1002336
Eastern Cool Temperate Developed Ruderal Evergreen Forest,Dtc Developed Ruderal Evergreen Forest,Tree,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,985204
Eastern Cool Temperate Developed Ruderal Mixed Forest,Dtm Developed Ruderal Deciduous-Evergreen Forest,Tree,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,10471913
Eastern Cool Temperate Developed Ruderal Shrubland,Dsh Developed Ruderal Shrubland,Shrub,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,332848
Eastern Cool Temperate Developed Ruderal Grassland,Dgr Developed Ruderal Grassland,Herb,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,2851497
Eastern Warm Temperate Developed Ruderal Deciduous Forest,Dtd Developed Ruderal Deciduous Forest,Tree,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,3474180
Eastern Warm Temperate Developed Ruderal Evergreen Forest,Dtc Developed Ruderal Evergreen Forest,Tree,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,726401
Eastern Warm Temperate Developed Ruderal Mixed Forest,Dtm Developed Ruderal Deciduous-Evergreen Forest,Tree,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,15073095
Eastern Warm Temperate Developed Ruderal Shrubland,Dsh Developed Ruderal Shrubland,Shrub,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,113806
Eastern Warm Temperate Developed Ruderal Grassland,Dgr Developed Ruderal Grassland,Herb,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,1829673
Eastern Cool Temperate Developed Ruderal Deciduous Forested Wetland,Dtd Developed Ruderal Deciduous Forested Wetland,Tree,Developed,Developed-Wetland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,51131
Eastern Cool Temperate Developed Ruderal Evergreen Forested Wetland,Dtc Developed Ruderal Evergreen Forested Wetland,Tree,Developed,Developed-Wetland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,47391
Eastern Cool Temperate Developed Ruderal Mixed Forested Wetland,Dtm Developed Ruderal Deciduous-Evergreen Forested Wetland,Tree,Developed,Developed-Wetland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,1010379
Eastern Cool Temperate Developed Ruderal Shrub Wetland,Dsh Developed Ruderal Shrub Wetland,Shrub,Developed,Developed-Wetland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,1905
Eastern Cool Temperate Developed Ruderal Herbaceous Wetland,Dgr Developed Ruderal Herbaceous Wetland,Herb,Developed,Developed-Wetland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,238360
Eastern Warm Temperate Developed Ruderal Deciduous Forested Wetland,Dtd Developed Ruderal Deciduous Forested Wetland,Tree,Developed,Developed-Wetland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,1881
Eastern Warm Temperate Developed Ruderal Evergreen Forested Wetland,Dtc Developed Ruderal Evergreen Forested Wetland,Tree,Developed,Developed-Wetland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,1525
Eastern Warm Temperate Developed Ruderal Mixed Forested Wetland,Dtm Developed Ruderal Deciduous-Evergreen Forested Wetland,Tree,Developed,Developed-Wetland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,511481
