EVT_NAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,COUNT
Southern Piedmont Dry Oak-(Pine) Forest,Tr Southern Piedmont Dry Oak-Pine Forest,Tree,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 59: Yellow Poplar-White Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,1438
Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,Tr Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,Tree,Riparian,Pine Flatwoods,SAF 98 : Pond Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,19390
Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,Tr Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,Tree,Riparian,Pine Flatwoods,SAF 83: Longleaf Pine-Slash Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,36
Atlantic Coastal Plain Peatland Pocosin and Canebrake Woodland,Tr Atlantic Coastal Plain Peatland Pocosin and Canebrake,Tree,Riparian,Pocosin,LF 48: Pocosin,Tree-dominated,Open tree canopy,Deciduous open tree canopy,52705
Northern Atlantic Coastal Plain Pitch Pine Lowland,Tr Northern Atlantic Coastal Plain Pitch Pine Lowland,Tree,Riparian,Pitch Pine Woodlands,SAF 45: Pitch Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,35
Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,Tr Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,Tree,Riparian,Cypress,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Deciduous open tree canopy,74
Southern Coastal Plain Nonriverine Cypress Dome,Tr Southern Coastal Plain Nonriverine Cypress Dome,Tree,Riparian,Cypress,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Deciduous open tree canopy,25
Southern Coastal Plain Seepage Swamp and Baygall Woodland,Tr Southern Coastal Plain Seepage Swamp and Baygall,Tree,Riparian,Atlantic Swamp Forests,LF 47: Gulf Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,163
Central Appalachian Dry Oak Forest,Tr Central Appalachian Dry Oak Forest,Tree,Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,7045
Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall Woodland,Tr Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,Tree,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,1339
Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,Tr Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,Tree,Riparian,Atlantic Swamp Forests,SAF 97: Atlantic White Cedar,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,38920
Central Appalachian Dry Oak-Pine Forest,Tr Central Appalachian Dry Oak-Pine Forest,Tree,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,2312
Appalachian Northern Hardwood Forest,Tr Appalachian Northern Hardwood Forest,Tree,Hardwood,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,3790
Appalachian (Hemlock)-Northern Hardwood Forest,Tr Appalachian Hemlock-Northern Hardwood Forest,Tree,Conifer-Hardwood,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,1615
Southern Coastal Plain Herbaceous Seep and Bog,He Southern Coastal Plain Herbaceous Seep and Bog,Herb,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,1
Atlantic Coastal Plain Sandhill Seep,He Atlantic Coastal Plain Sandhill Seep,Herb,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,3
Central Appalachian Oak Rocky Woodland,Tr Central Appalachian Rocky Oak Woodland,Tree,Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,5509
Central Appalachian Pine-Oak Rocky Woodland,Tr Central Appalachian Rocky Pine-Oak Woodland,Tree,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,4237
Eastern Cool Temperate Urban Deciduous Forest,Dtd Urban Deciduous Forest,Tree,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,2442
Eastern Cool Temperate Urban Evergreen Forest,Dtc Urban Evergreen Forest,Tree,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,3164
Eastern Cool Temperate Urban Mixed Forest,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,2629
Eastern Cool Temperate Urban Herbaceous,Dgr Urban Herbaceous,Herb,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,2130
Eastern Cool Temperate Urban Shrubland,Dsh Urban Shrubland,Shrub,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,1023
Eastern Warm Temperate Urban Evergreen Forest,Dtc Urban Evergreen Forest,Tree,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,5
Eastern Warm Temperate Urban Herbaceous,Dgr Urban Herbaceous,Herb,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,9
Eastern Cool Temperate Developed Ruderal Deciduous Forest,Dtd Developed Ruderal Deciduous Forest,Tree,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,987
Eastern Cool Temperate Developed Ruderal Evergreen Forest,Dtc Developed Ruderal Evergreen Forest,Tree,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,188
Eastern Cool Temperate Developed Ruderal Mixed Forest,Dtm Developed Ruderal Deciduous-Evergreen Forest,Tree,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,9257
Eastern Cool Temperate Developed Ruderal Shrubland,Dsh Developed Ruderal Shrubland,Shrub,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,47
Eastern Cool Temperate Developed Ruderal Grassland,Dgr Developed Ruderal Grassland,Herb,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,1673
Eastern Warm Temperate Developed Ruderal Deciduous Forest,Dtd Developed Ruderal Deciduous Forest,Tree,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,726
Eastern Warm Temperate Developed Ruderal Evergreen Forest,Dtc Developed Ruderal Evergreen Forest,Tree,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,9
Eastern Warm Temperate Developed Ruderal Mixed Forest,Dtm Developed Ruderal Deciduous-Evergreen Forest,Tree,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,1682
Eastern Warm Temperate Developed Ruderal Shrubland,Dsh Developed Ruderal Shrubland,Shrub,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,2
Eastern Warm Temperate Developed Ruderal Grassland,Dgr Developed Ruderal Grassland,Herb,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,109
Eastern Cool Temperate Developed Ruderal Deciduous Forested Wetland,Dtd Developed Ruderal Deciduous Forested Wetland,Tree,Developed,Developed-Wetland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,368
Eastern Cool Temperate Developed Ruderal Evergreen Forested Wetland,Dtc Developed Ruderal Evergreen Forested Wetland,Tree,Developed,Developed-Wetland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,139
Eastern Cool Temperate Developed Ruderal Mixed Forested Wetland,Dtm Developed Ruderal Deciduous-Evergreen Forested Wetland,Tree,Developed,Developed-Wetland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,3232
Eastern Cool Temperate Developed Ruderal Herbaceous Wetland,Dgr Developed Ruderal Herbaceous Wetland,Herb,Developed,Developed-Wetland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,708
Eastern Warm Temperate Developed Ruderal Mixed Forested Wetland,Dtm Developed Ruderal Deciduous-Evergreen Forested Wetland,Tree,Developed,Developed-Wetland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,55
Eastern Cool Temperate Orchard,Dab Orchard,Tree,Agricultural,Agricultural-Orchard,LF 80: Agriculture,Tree-dominated,Open tree canopy,Deciduous open tree canopy,17
Eastern Cool Temperate Bush fruit and berries,Dab Bush Fruit and Berries,Shrub,Agricultural,Agricultural-Bush fruit and berries,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,1
Eastern Cool Temperate Row Crop - Close Grown Crop,Da Row Crop - Close Grown Crop,Agriculture,Agricultural,Agricultural-Row Crop-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,567
Eastern Cool Temperate Row Crop,Da Row Crop,Agriculture,Agricultural,Agricultural-Row Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,39719
Eastern Cool Temperate Close Grown Crop,Da Close Grown Crop,Agriculture,Agricultural,Agricultural-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,11729
Eastern Cool Temperate Fallow/Idle Cropland,Dab Fallow/Idle Cropland,Herb,Agricultural,Agricultural-Fallow/Idle Cropland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,1826
Eastern Cool Temperate Pasture and Hayland,Dab Pasture and Hayland,Herb,Agricultural,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,13472
Eastern Cool Temperate Wheat,Da Wheat,Agriculture,Agricultural,Agricultural-Wheat,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,81
Eastern Warm Temperate Orchard,Dab Orchard,Tree,Agricultural,Agricultural-Orchard,LF 80: Agriculture,Tree-dominated,Open tree canopy,Deciduous open tree canopy,1
Eastern Warm Temperate Fallow/Idle Cropland,Dab Fallow/Idle Cropland,Herb,Agricultural,Agricultural-Fallow/Idle Cropland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,69
Eastern Warm Temperate Pasture and Hayland,Dab Pasture and Hayland,Herb,Agricultural,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,41
Atlantic Coastal Plain Blackwater Stream Floodplain Forest,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Tree,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,8194
Atlantic Coastal Plain Brownwater Stream Floodplain Forest,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Tree,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,336
Atlantic Coastal Plain Embayed Region Tidal Freshwater Marsh,He Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Herb,Riparian,Atlantic Coastal Marsh,LF 50: Tidal Flats and Marshes,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,250
Atlantic Coastal Plain Embayed Region Tidal Salt and Brackish Marsh,He Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Herb,Riparian,Atlantic Coastal Marsh,LF 50: Tidal Flats and Marshes,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,3321
Atlantic Coastal Plain Small Blackwater River Floodplain Forest,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,20822
Atlantic Coastal Plain Small Brownwater River Floodplain Forest,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,2619
Central Appalachian River Floodplain Forest,Tr Central Interior and Appalachian Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,491
Central Appalachian Stream and Riparian Woodland,Tr Central Interior and Appalachian Riparian Systems,Tree,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,758
High Allegheny Wetland,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,160
North-Central Interior and Appalachian Rich Swamp,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,3
North-Central Interior Floodplain Forest,Tr Central Interior and Appalachian Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,41
