EVT_NAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,COUNT
Madrean Lower Montane Pine-Oak Forest and Woodland,Tr Madrean Lower Montane Pine-Oak Forest and Woodland,Tree,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,3475647
Madrean Pinyon-Juniper Woodland,Tr Madrean Pinyon-Juniper Woodland,Tree,Conifer,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,31763049
Madrean Upper Montane Conifer-Oak Forest and Woodland,Tr Madrean Upper Montane Conifer-Oak Forest and Woodland,Tree,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,1152605
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Tr Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Tree,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 243: Sierra Nevada Mixed Conifer,Tree-dominated,Open tree canopy,Evergreen open tree canopy,18393801
Mediterranean California Mesic Mixed Conifer Forest and Woodland,Tr Mediterranean California Mesic Mixed Conifer Forest and Woodland,Tree,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,23537948
Mediterranean California Mixed Oak Woodland,Tr Mediterranean California Mixed Oak Woodland,Tree,Hardwood,Western Oak Woodland and Savanna,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,6111048
Mediterranean California Lower Montane Conifer Forest and Woodland,Tr Mediterranean California Lower Montane Conifer Forest and Woodland,Tree,Conifer,Conifer-Oak Forest and Woodland,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,8359657
California Montane Jeffrey Pine-(Ponderosa Pine) Woodland,Tr California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Tree,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 247: Jeffrey Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,5581651
Mediterranean California Red Fir Forest,Tr Mediterranean California Red Fir Forest,Tree,Conifer,Red Fir Forest and Woodland,SAF 207: Red Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy,9182682
Mediterranean California Subalpine Woodland,Tr Mediterranean California Subalpine Woodland,Tree,Conifer,Subalpine Woodland and Parkland,SAF 256: California Mixed Subalpine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,1668325
Mediterranean California Mesic Serpentine Woodland,Tr Mediterranean California Mesic Serpentine Woodland and Chaparral,Tree,Conifer,Chaparral,SAF 248: Knobcone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,65121
North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,Tr North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Tree,Conifer,Douglas-fir Forest and Woodland,SAF 229: Pacific Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,1157611
North Pacific Seasonal Sitka Spruce Forest,Tr North Pacific Hypermaritime Seasonal Sitka Spruce Forest,Tree,Conifer,Sitka Spruce Forest,SAF 223: Sitka Spruce,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,7338041
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Tr North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Tree,Conifer,Douglas-fir-Western Hemlock Forest and Woodland,SAF 230: Douglas-Fir-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,27712115
North Pacific Maritime Mesic Subalpine Parkland,Tr North Pacific Maritime Mesic Subalpine Parkland,Tree,Conifer,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Open tree canopy,Evergreen open tree canopy,653855
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Tr North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Tree,Conifer,Douglas-fir-Western Hemlock Forest and Woodland,SAF 230: Douglas-Fir-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,15819338
North Pacific Mountain Hemlock Forest,Tr North Pacific Mountain Hemlock Forest,Tree,Conifer,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,5098058
North Pacific Mesic Western Hemlock-Silver Fir Forest,Tr North Pacific Mesic Western Hemlock-Silver Fir Forest,Tree,Conifer,Western Hemlock-Silver Fir Forest,SAF 226: Coastal True Fir-Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,15672791
Mediterranean California Mixed Evergreen Forest,Tr Mediterranean California Mixed Evergreen Forest,Tree,Conifer,California Mixed Evergreen Forest and Woodland,SAF 234: Douglas-Fir-Tanoak-Pacific Madrone,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,25711702
Northern California Mesic Subalpine Woodland,Tr Northern California Mesic Subalpine Woodland,Tree,Conifer,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Open tree canopy,Evergreen open tree canopy,2357899
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Tr Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Tree,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,58653356
Northern Rocky Mountain Subalpine Woodland and Parkland,Tr Northern Rocky Mountain Subalpine Woodland and Parkland,Tree,Conifer,Subalpine Woodland and Parkland,SAF 208: Whitebark Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,12508500
Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Tr Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Tree,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 213: Grand Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,32766707
Northwestern Great Plains Highland White Spruce Woodland,Tr Northwestern Great Plains Highland White Spruce Woodland,Tree,Conifer,Spruce-Fir Forest and Woodland,SAF 201: White Spruce,Tree-dominated,Open tree canopy,Evergreen open tree canopy,69759
Rocky Mountain Foothill Limber Pine-Juniper Woodland,Tr Rocky Mountain Foothill Limber Pine-Juniper Woodland,Tree,Conifer,Limber Pine Woodland,SAF 219: Limber Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,4182607
Rocky Mountain Lodgepole Pine Forest,Tr Rocky Mountain Lodgepole Pine Forest,Tree,Conifer,Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,46871555
Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Tr Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Tree,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,15209676
Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Tr Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Tree,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,7059562
Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Tr Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Tree,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,30422685
Southern Rocky Mountain Ponderosa Pine Woodland,Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,54926696
Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Tr Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Tree,Conifer,Spruce-Fir Forest and Woodland,SAF 206: Engelmann Spruce-Subalpine Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,53350600
Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Tr Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Tree,Conifer,Spruce-Fir Forest and Woodland,SAF 206: Engelmann Spruce-Subalpine Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,14437313
Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Tr Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Tree,Conifer,Limber Pine Woodland,SAF 209: Bristlecone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,1435469
Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,Tr Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,Tree,Conifer,Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,3476174
Southern Rocky Mountain Pinyon-Juniper Woodland,Tr Southern Rocky Mountain Pinyon-Juniper Woodland,Tree,Conifer,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,16939195
East Cascades Ponderosa Pine Forest and Woodland,Tr East Cascades Ponderosa Pine Forest and Woodland,Tree,Conifer,Conifer-Oak Forest and Woodland,SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,992990
Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Tr Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Tree,Conifer-Hardwood,Aspen-Mixed Conifer Forest and Woodland,SAF 217: Aspen,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,5895204
Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,Tr Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Tree,Conifer,Mountain Mahogany Woodland and Shrubland,SRM 415: Curlleaf Mountain-Mahogany,Tree-dominated,Open tree canopy,Evergreen open tree canopy,5853752
North Pacific Broadleaf Landslide Forest,Tr North Pacific Broadleaf Landslide Forest and Shrubland,Tree,Hardwood,Red Alder Forest and Woodland,SAF 221: Red Alder,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,9946723
Colorado Plateau Mixed Low Sagebrush Shrubland,Sh Colorado Plateau Mixed Low Sagebrush Shrubland,Shrub,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 405: Black Sagebrush,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,6190777
Columbia Plateau Scabland Shrubland,Sh Columbia Plateau Scabland Shrubland,Shrub,Shrubland,Desert Scrub,SRM 106: Bluegrass Scabland,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,5694854
Inter-Mountain Basins Mat Saltbush Shrubland,Sh Inter-Mountain Basins Mat Saltbush Shrubland,Shrub,Shrubland,Salt Desert Scrub,SRM 501: Saltbush-Greasewood,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,16190795
Mediterranean California Alpine Fell-Field,Sh Mediterranean California Alpine Fell-Field,Shrub,Shrubland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 213: Alpine Grassland,Shrub-dominated,Dwarf-shrubland,Mixed evergreen-deciduous dwarf-shrubland,3688
North Pacific Dry and Mesic Alpine Dwarf-Shrubland,Sh North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Shrub,Shrubland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 108: Alpine Idaho Fescue,Shrub-dominated,Dwarf-shrubland,Mixed evergreen-deciduous dwarf-shrubland,364146
North Pacific Dry and Mesic Alpine Fell-field or Meadow,Sh North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Herb,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 108: Alpine Idaho Fescue,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,32419
Rocky Mountain Alpine Dwarf-Shrubland,Sh Rocky Mountain Alpine Dwarf-Shrubland,Shrub,Shrubland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 410: Alpine Rangeland,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,2152725
Sierra Nevada Alpine Dwarf-Shrubland,Sh Sierra Nevada Alpine Dwarf-Shrubland,Shrub,Shrubland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 213: Alpine Grassland,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,1229751
Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Sh Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Shrub,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 405: Black Sagebrush,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland,5892417
Baja Semi-Desert Coastal Succulent Scrub,Sh Baja Semi-Desert Coastal Succulent Scrub,Shrub,Shrubland,Pacific Coastal Scrub,SRM 205: Coastal Sage Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,11153
Chihuahuan Creosotebush Desert Scrub,Sh Chihuahuan Creosotebush Desert Scrub,Shrub,Shrubland,Creosotebush Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,27307084
Chihuahuan Mixed Salt Desert Scrub,Sh Chihuahuan Mixed Salt Desert Scrub,Shrub,Shrubland,Salt Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Evergreen shrubland,7402141
Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,Sh Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,Shrub,Shrubland,Desert Scrub,SRM 729: Mesquite,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,11129004
Chihuahuan Succulent Desert Scrub,Sh Chihuahuan Succulent Desert Scrub,Shrub,Shrubland,Succulent Desert Scrub,SRM 735: Sideoats Grama-Sumac-Juniper,Shrub-dominated,Shrubland,Evergreen shrubland,5311678
Colorado Plateau Blackbrush-Mormon-tea Shrubland,Sh Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrub,Shrubland,Blackbrush Shrubland,SRM 212: Blackbush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,19527218
Great Basin Xeric Mixed Sagebrush Shrubland,Sh Great Basin Xeric Mixed Sagebrush Shrubland,Shrub,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 406: Low Sagebrush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,31691703
Inter-Mountain Basins Big Sagebrush Shrubland,Sh Inter-Mountain Basins Big Sagebrush Shrubland,Shrub,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 403: Wyoming Big Sagebrush,Shrub-dominated,Shrubland,Evergreen shrubland,222800194
Inter-Mountain Basins Mixed Salt Desert Scrub,Sh Inter-Mountain Basins Mixed Salt Desert Scrub,Shrub,Shrubland,Salt Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Evergreen shrubland,56779138
Mojave Mid-Elevation Mixed Desert Scrub,Sh Mojave Mid-Elevation Mixed Desert Scrub,Shrub,Shrubland,Desert Scrub,SRM 212: Blackbush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,62391143
North Pacific Avalanche Chute Shrubland,Sh North Pacific Avalanche Chute Shrubland,Shrub,Shrubland,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,103208
North Pacific Montane Shrubland,Sh North Pacific Montane Shrubland,Shrub,Shrubland,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,2174335
Northwestern Great Plains Shrubland,Sh Northwestern Great Plains Shrubland,Shrub,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 612: Sagebrush-Grass,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,7617400
Rocky Mountain Lower Montane-Foothill Shrubland,Sh Rocky Mountain Lower Montane-Foothill Shrubland,Shrub,Shrubland,Deciduous Shrubland,SRM 421: Chokecherry-Serviceberry-Rose,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,9134365
Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Sh Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrub,Shrubland,Creosotebush Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,91138005
Sonora-Mojave Mixed Salt Desert Scrub,Sh Sonora-Mojave Mixed Salt Desert Scrub,Shrub,Shrubland,Salt Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Evergreen shrubland,3766022
Sonoran Granite Outcrop Desert Scrub,Sh Sonoran Granite Outcrop Desert Scrub,Shrub,Shrubland,Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,226700
Sonoran Mid-Elevation Desert Scrub,Sh Sonoran Mid-Elevation Desert Scrub,Shrub,Shrubland,Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,3464919
Southern California Coastal Scrub,Sh Southern California Coastal Scrub,Shrub,Shrubland,Pacific Coastal Scrub,SRM 205: Coastal Sage Shrub,Shrub-dominated,Shrubland,Evergreen shrubland,7123728
Southern Colorado Plateau Sand Shrubland,Sh Southern Colorado Plateau Sand Shrubland,Shrub,Shrubland,Sand Shrubland,SRM 605: Sandsage Prairie,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,12654184
Western Great Plains Sandhill Steppe,Sh Western Great Plains Sandhill Steppe,Shrub,Shrubland,Sand Shrubland,SRM 605: Sandsage Prairie,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,21921837
California Maritime Chaparral,Sh California Maritime Chaparral,Shrub,Shrubland,Chaparral,SRM 208: Ceanothus Mixed Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,36185
California Mesic Chaparral,Sh California Mesic Chaparral,Shrub,Shrubland,Chaparral,SRM 207: Scrub Oak Mixed Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,1662736
California Montane Woodland and Chaparral,Sh California Montane Woodland and Chaparral,Shrub,Shrubland,Chaparral,SRM 209: Montane Shrubland,Shrub-dominated,Shrubland,Evergreen shrubland,7206096
California Xeric Serpentine Chaparral,Sh California Xeric Serpentine Chaparral,Shrub,Shrubland,Chaparral,SRM 209: Montane Shrubland,Shrub-dominated,Shrubland,Evergreen shrubland,126125
Chihuahuan Mixed Desert and Thornscrub,Sh Chihuahuan Mixed Desert and Thornscrub,Shrub,Shrubland,Desert Scrub,SRM 508: Creosotebush-Tarbush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,56836016
Madrean Oriental Chaparral,Sh Madrean Oriental Chaparral,Shrub,Shrubland,Chaparral,SRM 735: Sideoats Grama-Sumac-Juniper,Shrub-dominated,Shrubland,Evergreen shrubland,620293
Colorado Plateau Pinyon-Juniper Shrubland,Sh Colorado Plateau Pinyon-Juniper Shrubland,Shrub,Shrubland,Pinyon-Juniper Shrubland,SRM 504: Juniper-Pinyon Pine Woodland,Shrub-dominated,Shrubland,Evergreen shrubland,13725496
Great Basin Semi-Desert Chaparral,Sh Great Basin Semi-Desert Chaparral,Shrub,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,1381099
Mogollon Chaparral,Sh Mogollon Chaparral,Shrub,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,10867603
Northern and Central California Dry-Mesic Chaparral,Sh Northern and Central California Dry-Mesic Chaparral,Shrub,Shrubland,Chaparral,SRM 206: Chamise Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,18706196
Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Sh Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrub,Shrubland,Deciduous Shrubland,SRM 421: Chokecherry-Serviceberry-Rose,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,17892790
Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,Shrubland,Deciduous Shrubland,SRM 413: Gambel oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,16548023
Sonora-Mojave Semi-Desert Chaparral,Sh Sonora-Mojave Semi-Desert Chaparral,Shrub,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,1633703
Sonoran Paloverde-Mixed Cacti Desert Scrub,Sh Sonoran Paloverde-Mixed Cacti Desert Scrub,Shrub,Shrubland,Desert Scrub,SRM 507: Palo Verde-Cactus,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,59587936
Southern California Dry-Mesic Chaparral,Sh Southern California Dry-Mesic Chaparral,Shrub,Shrubland,Chaparral,SRM 206: Chamise Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,10196990
Western Great Plains Mesquite Shrubland,Sh Western Great Plains Mesquite Woodland and Shrubland,Shrub,Shrubland,Mesquite Woodland and Scrub,SRM 729: Mesquite,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,57970846
California Central Valley Mixed Oak Savanna,Tr California Central Valley Mixed Oak Savanna,Tree,Hardwood,Western Oak Woodland and Savanna,SRM 201: Blue Oak Woodland,Tree-dominated,Sparse tree canopy,Deciduous sparse tree canopy,391518
California Coastal Live Oak Woodland and Savanna,Tr California Coastal Live Oak Woodland and Savanna,Tree,Hardwood,Western Oak Woodland and Savanna,SAF 255: California Coast Live Oak,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,4037444
California Lower Montane Foothill Pine Woodland and Savanna,Tr California Lower Montane Foothill Pine Woodland and Savanna,Tree,Conifer,Conifer-Oak Forest and Woodland,SAF 250: Blue Oak-Digger Pine,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,7738644
Inter-Mountain Basins Juniper Savanna,Tr Inter-Mountain Basins Juniper Savanna,Tree,Conifer,Juniper Woodland and Savanna,SRM 412: Juniper-Pinyon Woodland,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,235791
Madrean Juniper Savanna,Tr Madrean Juniper Savanna,Tree,Conifer,Juniper Woodland and Savanna,SRM 735: Sideoats Grama-Sumac-Juniper,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,756205
Southern Rocky Mountain Ponderosa Pine Savanna,Tr Southern Rocky Mountain Ponderosa Pine Savanna,Tree,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,439376
Southern California Oak Woodland and Savanna,Tr Southern California Oak Woodland and Savanna,Tree,Hardwood,Western Oak Woodland and Savanna,SAF 255: California Coast Live Oak,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,1337656
